product_id,food_item,category,price
1,Milkshake,sweet,18.28
2,Nachos,sweet,18.94
3,Paneer Tikka Pizza,vegan,9.02
4,Margherita Pizza,dessert,14.38
5,Waffles,spicy,14.07
6,Dumplings,sweet,11.58
7,Veg Sandwich,mild,5.91
8,Onion Rings,vegan,24.94
9,Dumplings,dessert,20.84
10,Hummus with Pita,vegan,7.85
11,Vanilla Cake,dessert,7.74
12,French Fries,sweet,24.7
13,Hummus with Pita,sweet,5.84
14,Fried Chicken,fast food,10.58
15,Mango Juice,beverage,24.06
16,Smoothie Bowl,mild,5.75
17,Veg Pulao,spicy,24.7
18,Hummus with Pita,beverage,14.86
19,Margherita Pizza,vegan,13.44
20,Avocado Toast,sweet,24.54
21,Cereal Bowl,beverage,10.77
22,Masala Chai,savory,12.25
23,Shawarma Roll,vegan,17.84
24,Chicken Soup,dessert,14.6
25,Tacos,vegan,21.34
26,Grilled Fish,fast food,13.01
27,Chocolate Cake,spicy,14.24
28,Green Tea,spicy,9.59
29,Milkshake,savory,4.66
30,Mac and Cheese,spicy,7.68
31,Cheesecake,vegan,15.06
32,Veg Pulao,fast food,17.86
33,Greek Salad,sweet,7.37
34,Herbal Tea,savory,17.47
35,Granola Yogurt,savory,19.1
36,Masala Chai,fast food,12.82
37,Avocado Toast,mild,16.61
38,Burrito,fast food,3.14
39,Herbal Tea,fast food,11.09
40,Mac and Cheese,spicy,7.99
41,Steak,vegan,19.61
42,Lemonade,savory,6.53
43,Donut,fast food,15.13
44,Cereal Bowl,vegan,21.38
45,Egg Sandwich,dessert,15.98
46,Pasta Alfredo,vegan,18.73
47,Hummus with Pita,sweet,17.86
48,Falafel Wrap,savory,5.1
49,Milkshake,dessert,9.23
50,Sushi Roll,dessert,11.0
51,Pancakes,sweet,22.93
52,Onion Rings,mild,3.82
53,Club Sandwich,fast food,18.55
54,Quesadilla,dessert,17.41
55,Double Beef Burger,spicy,11.71
56,Falafel Wrap,beverage,2.78
57,Falafel Wrap,beverage,3.68
58,Brownie,beverage,19.64
59,Avocado Toast,mild,2.69
60,Iced Coffee,spicy,5.95
61,Veggie Burger,beverage,10.21
62,Cheesecake,dessert,22.77
63,Donut,sweet,16.15
64,Iced Coffee,spicy,5.76
65,Green Tea,vegan,5.5
66,Paneer Tikka Pizza,dessert,20.92
67,Paneer Tikka Pizza,fast food,3.28
68,Smoothie Bowl,sweet,13.52
69,Latte,savory,12.05
70,Milkshake,fast food,16.79
71,Smoothie Bowl,dessert,23.41
72,Pepperoni Pizza,spicy,21.7
73,Burrito,sweet,9.36
74,Veg Sandwich,mild,9.28
75,Cereal Bowl,fast food,15.68
76,Chow Mein,dessert,10.5
77,Steak,beverage,3.17
78,Garlic Bread,fast food,23.87
79,Iced Coffee,mild,8.06
80,Iced Coffee,dessert,9.63
81,Fried Rice,savory,21.39
82,Tomato Soup,mild,15.65
83,Pancakes,savory,19.71
84,Hot Chocolate,vegan,22.68
85,Hot Chocolate,spicy,14.91
86,Avocado Toast,savory,6.67
87,Ice Cream Sundae,savory,3.36
88,Falafel Wrap,sweet,7.17
89,Shawarma Roll,fast food,18.51
90,Grilled Chicken Burger,spicy,20.87
91,Fried Chicken,fast food,19.26
92,Pepperoni Pizza,savory,10.61
93,Herbal Tea,mild,3.08
94,Paneer Tikka Pizza,vegan,13.43
95,Spring Rolls,sweet,13.11
96,Burrito,spicy,3.46
97,Pasta Arrabiata,vegan,14.96
98,Green Tea,beverage,12.49
99,Pasta Arrabiata,fast food,15.73
100,Orange Juice,fast food,8.38
101,Veg Pulao,dessert,23.75
102,Falafel Wrap,beverage,17.68
103,Spring Rolls,fast food,17.7
104,Donut,dessert,17.41
105,Quesadilla,beverage,15.22
106,Sparkling Water,beverage,20.28
107,Veg Pulao,savory,20.74
108,Pancakes,dessert,3.31
109,Cereal Bowl,savory,17.38
110,Chicken Soup,beverage,12.22
111,Pasta Arrabiata,fast food,2.16
112,Hot Chocolate,dessert,3.94
113,Cappuccino,beverage,21.04
114,Herbal Tea,dessert,15.98
115,Grilled Fish,mild,12.02
116,Ramen Bowl,vegan,24.16
117,Chocolate Cake,sweet,19.69
118,Roast Lamb,dessert,23.79
119,Chicken Biryani,fast food,3.18
120,Onion Rings,dessert,12.44
121,Chow Mein,sweet,18.4
122,Grilled Fish,vegan,16.71
123,Vanilla Cake,dessert,15.68
