user_id,food_item,category,time_of_day,rating
u001,Thali,mild,lunch,4
u001,Curd Rice,mild,snack,5
u001,Paneer Butter Masala,spicy,snack,3
u001,Manchurian,spicy,snack,5
u001,Masala Dosa,mild,lunch,4
u001,Tandoori Chicken,spicy,lunch,5
u001,Butter Naan,mild,dinner,3
u001,Butter Naan,mild,dinner,3
u001,Hyderabadi Biryani,spicy,snack,4
u001,Pizza,spicy,breakfast,5
u001,Pizza,spicy,dinner,3
u001,Kathi Roll,spicy,snack,5
u001,Dhokla,mild,breakfast,5
u001,Chicken 65,spicy,dinner,3
u001,Rajma Chawal,mild,dinner,5
u001,Hyderabadi Biryani,spicy,breakfast,3
u001,Butter Naan,mild,snack,4
u001,Hyderabadi Biryani,spicy,dinner,5
u001,Veg Pulao,mild,lunch,4
u001,Butter Naan,mild,snack,4
u001,Pav Bhaji,spicy,snack,5
u001,Poha,mild,lunch,5
u001,Pizza,spicy,dinner,4
u001,Chicken 65,spicy,snack,5
u001,Idli,mild,breakfast,3
u002,Poha,mild,snack,5
u002,Palak Paneer,mild,lunch,3
u002,Spring Roll,spicy,dinner,4
u002,Thali,mild,snack,5
u002,Chicken 65,spicy,breakfast,3
u002,Veg Pulao,mild,snack,5
u002,Paneer Butter Masala,spicy,breakfast,3
u002,Chicken 65,spicy,breakfast,5
u002,Dal Tadka,mild,breakfast,3
u002,Fried Rice,spicy,snack,3
u002,Mutton Curry,spicy,snack,4
u002,Fish Fry,spicy,lunch,4
u002,Spring Roll,spicy,lunch,5
u002,Poha,mild,breakfast,3
u002,Fried Rice,spicy,dinner,5
u002,Manchurian,spicy,breakfast,3
u002,Dal Tadka,mild,breakfast,3
u002,Fish Fry,spicy,lunch,3
u002,Thali,mild,snack,5
u002,Curd Rice,mild,breakfast,5
u002,Spring Roll,spicy,breakfast,4
u002,Curd Rice,mild,lunch,5
u002,Tandoori Chicken,spicy,lunch,3
u002,Dal Tadka,mild,snack,4
u002,Chicken 65,spicy,snack,4
u003,Curd Rice,mild,lunch,5
u003,Thali,mild,lunch,3
u003,Khichdi,mild,breakfast,4
u003,Curd Rice,mild,lunch,4
u003,Pav Bhaji,spicy,dinner,5
u003,Poha,mild,breakfast,5
u003,Khichdi,mild,breakfast,4
u003,Vada Pav,spicy,breakfast,4
u003,Butter Naan,mild,dinner,3
u003,Butter Naan,mild,lunch,5
u003,Pav Bhaji,spicy,snack,3
u003,Paneer Butter Masala,spicy,dinner,4
u003,Palak Paneer,mild,breakfast,4
u003,Palak Paneer,mild,breakfast,5
u003,Spring Roll,spicy,lunch,4
u003,Tandoori Chicken,spicy,lunch,5
u003,Chole Bhature,spicy,lunch,5
u003,Rajma Chawal,mild,breakfast,5
u003,Fish Fry,spicy,dinner,4
u003,Fish Fry,spicy,dinner,3
u003,Idli,mild,breakfast,3
u003,Fried Rice,spicy,snack,5
u003,Veg Pulao,mild,breakfast,5
u003,Fried Rice,spicy,lunch,3
u003,Aloo Paratha,mild,snack,4
u003,Pizza,spicy,dinner,3
u003,Pav Bhaji,spicy,dinner,3
u003,Butter Naan,mild,breakfast,5
u003,Tandoori Chicken,spicy,breakfast,4
u003,Fried Rice,spicy,breakfast,5
u004,Chicken 65,spicy,snack,4
u004,Aloo Paratha,mild,breakfast,3
u004,Aloo Paratha,mild,breakfast,4
u004,Palak Paneer,mild,lunch,3
u004,Mutton Curry,spicy,lunch,3
u004,Butter Naan,mild,lunch,4
u004,Samosa,spicy,dinner,4
u004,Aloo Paratha,mild,breakfast,5
u004,Butter Naan,mild,snack,3
u004,Dal Tadka,mild,breakfast,4
u004,Mutton Curry,spicy,breakfast,5
u004,Veg Pulao,mild,breakfast,4
u004,Pav Bhaji,spicy,lunch,3
u004,Tandoori Chicken,spicy,snack,4
u004,Rajma Chawal,mild,snack,4
u004,Pav Bhaji,spicy,lunch,5
u004,Pav Bhaji,spicy,snack,5
u004,Manchurian,spicy,dinner,4
u004,Mutton Curry,spicy,breakfast,4
u004,Palak Paneer,mild,snack,4
u004,Khichdi,mild,dinner,5
u004,Dhokla,mild,snack,4
u004,Masala Dosa,mild,snack,3
u004,Fish Fry,spicy,lunch,4
u004,Idli,mild,dinner,3
u004,Pizza,spicy,dinner,3
u004,Chole Bhature,spicy,dinner,4
u005,Fish Fry,spicy,lunch,5
u005,Pizza,spicy,lunch,4
u005,Curd Rice,mild,snack,4
u005,Tandoori Chicken,spicy,dinner,3
u005,Khichdi,mild,dinner,4
u005,Dhokla,mild,breakfast,5
u005,Khichdi,mild,snack,4
u005,Spring Roll,spicy,lunch,4
u005,Dhokla,mild,dinner,3
u005,Aloo Paratha,mild,dinner,5
u005,Samosa,spicy,breakfast,5
u005,Butter Naan,mild,dinner,3
u005,Vada Pav,spicy,lunch,5
u005,Poha,mild,breakfast,5
u005,Curd Rice,mild,breakfast,3
u005,Palak Paneer,mild,breakfast,4
u005,Fried Rice,spicy,dinner,3
u005,Spring Roll,spicy,breakfast,3
u005,Kathi Roll,spicy,breakfast,5
u005,Thali,mild,lunch,4
u005,Fish Fry,spicy,dinner,5
u005,Hyderabadi Biryani,spicy,dinner,5
u005,Kathi Roll,spicy,breakfast,5
u005,Poha,mild,snack,5
u005,Rajma Chawal,mild,snack,4
u005,Butter Naan,mild,dinner,4
u006,Poha,mild,dinner,4
u006,Rajma Chawal,mild,snack,3
u006,Thali,mild,lunch,5
u006,Kathi Roll,spicy,breakfast,4
u006,Pav Bhaji,spicy,lunch,4
u006,Masala Dosa,mild,dinner,5
u006,Burger,spicy,snack,3
u006,Hyderabadi Biryani,spicy,lunch,4
u006,Kathi Roll,spicy,snack,3
u006,Burger,spicy,dinner,4
u006,Veg Pulao,mild,dinner,3
u006,Burger,spicy,lunch,4
u006,Rajma Chawal,mild,breakfast,4
u006,Chole Bhature,spicy,dinner,5
u006,Fried Rice,spicy,dinner,3
u006,Hyderabadi Biryani,spicy,lunch,4
u006,Aloo Paratha,mild,snack,5
u006,Aloo Paratha,mild,lunch,5
u006,Rajma Chawal,mild,lunch,5
u006,Spring Roll,spicy,breakfast,5
u006,Dhokla,mild,snack,4
u006,Khichdi,mild,lunch,4
u006,Paneer Butter Masala,spicy,snack,4
u006,Chicken 65,spicy,lunch,4
u006,Vada Pav,spicy,breakfast,4
u006,Poha,mild,snack,3
u006,Manchurian,spicy,breakfast,5
u007,Khichdi,mild,lunch,4
u007,Chole Bhature,spicy,dinner,4
u007,Dal Tadka,mild,snack,5
u007,Dhokla,mild,snack,4
u007,Upma,mild,dinner,3
u007,Pizza,spicy,dinner,5
u007,Masala Dosa,mild,lunch,5
u007,Butter Naan,mild,lunch,4
u007,Khichdi,mild,breakfast,5
u007,Idli,mild,dinner,4
u007,Curd Rice,mild,lunch,4
u007,Dhokla,mild,snack,4
u007,Masala Dosa,mild,snack,5
u007,Aloo Paratha,mild,snack,4
u007,Butter Naan,mild,dinner,5
u007,Burger,spicy,lunch,4
u007,Poha,mild,lunch,5
u007,Mutton Curry,spicy,breakfast,3
u007,Rajma Chawal,mild,lunch,3
u007,Upma,mild,lunch,4
u007,Aloo Paratha,mild,snack,3
u007,Dhokla,mild,snack,3
u007,Idli,mild,dinner,3
u007,Idli,mild,breakfast,4
u007,Dhokla,mild,lunch,5
u008,Thali,mild,snack,4
u008,Vada Pav,spicy,snack,3
u008,Rajma Chawal,mild,snack,3
u008,Rajma Chawal,mild,snack,5
u008,Tandoori Chicken,spicy,breakfast,5
u008,Dal Tadka,mild,dinner,4
u008,Dhokla,mild,lunch,5
u008,Curd Rice,mild,snack,3
u008,Paneer Butter Masala,spicy,breakfast,5
u008,Pav Bhaji,spicy,dinner,3
u008,Burger,spicy,snack,5
u008,Tandoori Chicken,spicy,snack,4
u008,Burger,spicy,lunch,4
u008,Dhokla,mild,dinner,3
u008,Curd Rice,mild,lunch,5
u008,Chole Bhature,spicy,snack,4
u008,Mutton Curry,spicy,dinner,4
u008,Burger,spicy,breakfast,5
u008,Khichdi,mild,breakfast,4
u008,Chicken 65,spicy,breakfast,3
u008,Upma,mild,lunch,4
u008,Kathi Roll,spicy,lunch,4
u008,Palak Paneer,mild,snack,4
u008,Idli,mild,breakfast,4
u008,Tandoori Chicken,spicy,dinner,4
u008,Spring Roll,spicy,dinner,4
u009,Dhokla,mild,snack,3
